SSN,Junk Food consumed (in calories),age,weight,gender
1,2527,12,60,Male
2,3500,20,66,Female
3,4000,18,52,Male
4,3900,35,79,Female
5,2000,40,80,Female
6,2822,16,45,Female
7,3722,27,77,Male
8,2005,8,110,Male
9,1510,57,65,Male
10,1900,45,113,Female
11,1530,5,98,Male
12,1002,73,40,Male
13,4000,34,25,Female
14,4350,25,120,Female
15,1979,50,83,Male
16,1840,7,85,Female
17,1470,60,86,Female
18,2010,52,87,Male
19,3800,28,88,Male
20,1390,70,67,Female
21,2100,39,56,Female
22,2605,15,67,Male
23,756,81,78,Male
24,2440,10,23,Female
25,1856,42,56,Male
26,1523,62,56,Female
27,2600,9,34,Female
28,1933,44,67,Male
29,1000,77,78,Male
30,3700,30,67,Male
